in s,C1 in V
-1.9471344E+00,-1.68945E+00
-1.9469496E+00,-1.65039E+00
-1.9467648E+00,-1.66992E+00
-1.9465800E+00,-1.65039E+00
-1.9463952E+00,-1.66992E+00
-1.9462104E+00,-1.65039E+00
-1.9460256E+00,-1.66992E+00
-1.9458408E+00,-1.72852E+00
-1.9456560E+00,-1.65039E+00
-1.9454712E+00,-1.66992E+00
-1.9452864E+00,-1.72852E+00
-1.9451016E+00,-1.65039E+00
-1.9449168E+00,-1.66992E+00
-1.9447320E+00,-1.68945E+00
-1.9445472E+00,-1.72852E+00
-1.9443624E+00,-1.66992E+00
-1.9441776E+00,-1.66992E+00
-1.9439928E+00,-1.66992E+00
-1.9438080E+00,-1.66992E+00
-1.9436232E+00,-1.70898E+00
-1.9434384E+00,-1.66992E+00
-1.9432536E+00,-1.65039E+00
-1.9430688E+00,-1.66992E+00
-1.9428840E+00,-1.66992E+00
-1.9426992E+00,-1.65039E+00
-1.9425144E+00,-1.66992E+00
-1.9423296E+00,-1.65039E+00
-1.9421448E+00,-1.68945E+00
-1.9419600E+00,-1.65039E+00
-1.9417752E+00,-1.66992E+00
-1.9415904E+00,-1.68945E+00
-1.9414056E+00,-1.65039E+00
-1.9412208E+00,-1.70898E+00
-1.9410360E+00,-1.68945E+00
-1.9408512E+00,-1.68945E+00
-1.9406664E+00,-1.65039E+00
-1.9404816E+00,-1.68945E+00
-1.9402968E+00,-1.72852E+00
-1.9401120E+00,-1.68945E+00
-1.9399272E+00,-1.68945E+00
-1.9397424E+00,-1.68945E+00
-1.9395576E+00,-1.68945E+00
-1.9393728E+00,-1.72852E+00
-1.9391880E+00,-1.65039E+00
-1.9390032E+00,-1.66992E+00
-1.9388184E+00,-1.66992E+00
-1.9386336E+00,-1.68945E+00
-1.9384488E+00,-1.66992E+00
-1.9382640E+00,-1.68945E+00
-1.9380792E+00,-1.68945E+00
-1.9378944E+00,-1.65039E+00
-1.9377096E+00,-1.68945E+00
-1.9375248E+00,-1.65039E+00
-1.9373400E+00,-1.65039E+00
-1.9371552E+00,-1.68945E+00
-1.9369704E+00,-1.66992E+00
-1.9367856E+00,-1.65039E+00
-1.9366008E+00,-1.66992E+00
-1.9364160E+00,-1.61133E+00
